,instant,date,season,year,month,hr,holiday,weekday,workingday,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,count_rental,category_days
13,14,2011-01-01,Spring,2011,January,13,Yes,Saturday,Weekend,Misty,18.86,22.725,72.0,19.999499999999998,47,47,94,weekends
14,15,2011-01-01,Spring,2011,January,14,Yes,Saturday,Weekend,Misty,18.86,22.725,72.0,19.0012,35,71,106,weekends
15,16,2011-01-01,Spring,2011,January,15,Yes,Saturday,Weekend,Misty,18.04,21.97,77.0,19.999499999999998,40,70,110,weekends
16,17,2011-01-01,Spring,2011,January,16,Yes,Saturday,Weekend,Misty,17.22,21.21,82.0,19.999499999999998,41,52,93,weekends
17,18,2011-01-01,Spring,2011,January,17,Yes,Saturday,Weekend,Misty,18.04,21.97,82.0,19.0012,15,52,67,weekends
18,19,2011-01-01,Spring,2011,January,18,Yes,Saturday,Weekend,Light Snow,17.22,21.21,88.0,16.997899999999998,9,26,35,weekends
19,20,2011-01-01,Spring,2011,January,19,Yes,Saturday,Weekend,Light Snow,17.22,21.21,88.0,16.997899999999998,6,31,37,weekends
20,21,2011-01-01,Spring,2011,January,20,Yes,Saturday,Weekend,Misty,16.400000000000002,20.455000000000002,87.0,16.997899999999998,11,25,36,weekends
21,22,2011-01-01,Spring,2011,January,21,Yes,Saturday,Weekend,Misty,16.400000000000002,20.455000000000002,87.0,12.998000000000001,3,31,34,weekends
22,23,2011-01-01,Spring,2011,January,22,Yes,Saturday,Weekend,Misty,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,weekends
23,24,2011-01-01,Spring,2011,January,23,Yes,Saturday,Weekend,Misty,18.86,22.725,88.0,19.999499999999998,15,24,39,weekends
24,25,2011-01-02,Spring,2011,January,0,Yes,Sunday,Weekend,Misty,18.86,22.725,88.0,19.999499999999998,4,13,17,weekends
25,26,2011-01-02,Spring,2011,January,1,Yes,Sunday,Weekend,Misty,18.04,21.97,94.0,16.997899999999998,1,16,17,weekends
26,27,2011-01-02,Spring,2011,January,2,Yes,Sunday,Weekend,Misty,17.22,21.21,100.0,19.0012,1,8,9,weekends
27,28,2011-01-02,Spring,2011,January,3,Yes,Sunday,Weekend,Misty,18.86,22.725,94.0,12.998000000000001,2,4,6,weekends
28,29,2011-01-02,Spring,2011,January,4,Yes,Sunday,Weekend,Misty,18.86,22.725,94.0,12.998000000000001,2,1,3,weekends
29,30,2011-01-02,Spring,2011,January,6,Yes,Sunday,Weekend,Light Snow,17.22,21.21,77.0,19.999499999999998,0,2,2,weekends
30,31,2011-01-02,Spring,2011,January,7,Yes,Sunday,Weekend,Misty,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,weekends
31,32,2011-01-02,Spring,2011,January,8,Yes,Sunday,Weekend,Light Snow,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,weekends
32,33,2011-01-02,Spring,2011,January,9,Yes,Sunday,Weekend,Misty,15.58,19.695,76.0,15.001299999999999,1,19,20,weekends
33,34,2011-01-02,Spring,2011,January,10,Yes,Sunday,Weekend,Misty,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,weekends
34,35,2011-01-02,Spring,2011,January,11,Yes,Sunday,Weekend,Misty,14.76,16.665,71.0,16.997899999999998,16,54,70,weekends
35,36,2011-01-02,Spring,2011,January,12,Yes,Sunday,Weekend,Misty,14.76,16.665,66.0,19.999499999999998,20,73,93,weekends
36,37,2011-01-02,Spring,2011,January,13,Yes,Sunday,Weekend,Misty,14.76,17.424999999999997,66.0,8.9981,11,64,75,weekends
37,38,2011-01-02,Spring,2011,January,14,Yes,Sunday,Weekend,Light Snow,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,weekends
38,39,2011-01-02,Spring,2011,January,15,Yes,Sunday,Weekend,Light Snow,13.940000000000001,16.665,81.0,11.0014,19,55,74,weekends
39,40,2011-01-02,Spring,2011,January,16,Yes,Sunday,Weekend,Light Snow,13.940000000000001,16.665,71.0,11.0014,9,67,76,weekends
40,41,2011-01-02,Spring,2011,January,17,Yes,Sunday,Weekend,Clear,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,weekends
41,42,2011-01-02,Spring,2011,January,18,Yes,Sunday,Weekend,Misty,14.76,16.665,46.0,22.0028,10,43,53,weekends
42,43,2011-01-02,Spring,2011,January,19,Yes,Sunday,Weekend,Clear,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,weekends
43,44,2011-01-02,Spring,2011,January,20,Yes,Sunday,Weekend,Clear,12.299999999999999,13.635,39.0,23.9994,5,17,22,weekends
44,45,2011-01-02,Spring,2011,January,21,Yes,Sunday,Weekend,Clear,10.66,11.365,44.0,22.0028,11,20,31,weekends
45,46,2011-01-02,Spring,2011,January,22,Yes,Sunday,Weekend,Clear,9.84,10.605,44.0,19.999499999999998,0,9,9,weekends
46,47,2011-01-02,Spring,2011,January,23,Yes,Sunday,Weekend,Clear,9.02,11.365,47.0,11.0014,0,8,8,weekends
47,48,2011-01-03,Spring,2011,January,0,Yes,Monday,Workingday,Clear,9.02,9.85,44.0,23.9994,0,5,5,weekdays
48,49,2011-01-03,Spring,2011,January,1,Yes,Monday,Workingday,Clear,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,weekdays
49,50,2011-01-03,Spring,2011,January,4,Yes,Monday,Workingday,Clear,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,weekdays
50,51,2011-01-03,Spring,2011,January,5,Yes,Monday,Workingday,Clear,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,weekdays
51,52,2011-01-03,Spring,2011,January,6,Yes,Monday,Workingday,Clear,5.74,5.305,50.0,26.0027,0,30,30,weekdays
52,53,2011-01-03,Spring,2011,January,7,Yes,Monday,Workingday,Clear,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,weekdays
53,54,2011-01-03,Spring,2011,January,8,Yes,Monday,Workingday,Clear,5.74,6.0600000000000005,50.0,19.0012,1,153,154,weekdays
54,55,2011-01-03,Spring,2011,January,9,Yes,Monday,Workingday,Clear,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,weekdays
55,56,2011-01-03,Spring,2011,January,10,Yes,Monday,Workingday,Clear,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,weekdays
56,57,2011-01-03,Spring,2011,January,11,Yes,Monday,Workingday,Clear,8.200000000000001,9.09,40.0,22.0028,10,41,51,weekdays
57,58,2011-01-03,Spring,2011,January,12,Yes,Monday,Workingday,Clear,9.02,10.605,35.0,19.999499999999998,13,48,61,weekdays
58,59,2011-01-03,Spring,2011,January,13,Yes,Monday,Workingday,Clear,9.84,10.605,35.0,19.0012,8,53,61,weekdays
59,60,2011-01-03,Spring,2011,January,14,Yes,Monday,Workingday,Clear,10.66,12.120000000000001,30.0,19.0012,11,66,77,weekdays
60,61,2011-01-03,Spring,2011,January,15,Yes,Monday,Workingday,Clear,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,weekdays
61,62,2011-01-03,Spring,2011,January,16,Yes,Monday,Workingday,Clear,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,weekdays
62,63,2011-01-03,Spring,2011,January,17,Yes,Monday,Workingday,Clear,9.84,11.365,30.0,15.001299999999999,11,146,157,weekdays
63,64,2011-01-03,Spring,2011,January,18,Yes,Monday,Workingday,Clear,9.84,12.879999999999999,32.0,7.0015,9,148,157,weekdays
64,65,2011-01-03,Spring,2011,January,19,Yes,Monday,Workingday,Clear,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,weekdays
65,66,2011-01-03,Spring,2011,January,20,Yes,Monday,Workingday,Clear,8.200000000000001,11.365,47.0,7.0015,3,49,52,weekdays
66,67,2011-01-03,Spring,2011,January,21,Yes,Monday,Workingday,Clear,7.38,9.85,64.0,8.9981,3,49,52,weekdays
67,68,2011-01-03,Spring,2011,January,22,Yes,Monday,Workingday,Clear,5.74,7.575,69.0,8.9981,0,20,20,weekdays
68,69,2011-01-03,Spring,2011,January,23,Yes,Monday,Workingday,Clear,7.38,10.605,55.00000000000001,7.0015,1,11,12,weekdays
69,70,2011-01-04,Spring,2011,January,0,Yes,Tuesday,Workingday,Clear,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,weekdays
70,71,2011-01-04,Spring,2011,January,1,Yes,Tuesday,Workingday,Clear,6.5600000000000005,9.09,59.0,7.0015,0,2,2,weekdays
71,72,2011-01-04,Spring,2011,January,2,Yes,Tuesday,Workingday,Clear,5.74,7.575,63.0,8.9981,0,1,1,weekdays
72,73,2011-01-04,Spring,2011,January,4,Yes,Tuesday,Workingday,Clear,5.74,9.09,63.0,6.0032,0,2,2,weekdays
73,74,2011-01-04,Spring,2011,January,5,Yes,Tuesday,Workingday,Clear,4.92,7.575,68.0,7.0015,0,4,4,weekdays
74,75,2011-01-04,Spring,2011,January,6,Yes,Tuesday,Workingday,Clear,4.92,7.575,74.0,7.0015,0,36,36,weekdays
75,76,2011-01-04,Spring,2011,January,7,Yes,Tuesday,Workingday,Clear,4.92,7.575,74.0,8.9981,2,92,94,weekdays
76,77,2011-01-04,Spring,2011,January,8,Yes,Tuesday,Workingday,Clear,5.74,7.575,69.0,11.0014,2,177,179,weekdays
77,78,2011-01-04,Spring,2011,January,9,Yes,Tuesday,Workingday,Clear,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,weekdays
78,79,2011-01-04,Spring,2011,January,10,Yes,Tuesday,Workingday,Misty,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,weekdays
79,80,2011-01-04,Spring,2011,January,11,Yes,Tuesday,Workingday,Clear,9.02,10.605,51.0,19.999499999999998,7,50,57,weekdays
80,81,2011-01-04,Spring,2011,January,12,Yes,Tuesday,Workingday,Clear,9.02,11.365,51.0,11.0014,12,66,78,weekdays
81,82,2011-01-04,Spring,2011,January,13,Yes,Tuesday,Workingday,Clear,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,weekdays
82,83,2011-01-04,Spring,2011,January,14,Yes,Tuesday,Workingday,Clear,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,weekdays
83,84,2011-01-04,Spring,2011,January,15,Yes,Tuesday,Workingday,Clear,11.48,13.635,52.0,16.997899999999998,17,48,65,weekdays
84,85,2011-01-04,Spring,2011,January,16,Yes,Tuesday,Workingday,Clear,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,weekdays
85,86,2011-01-04,Spring,2011,January,17,Yes,Tuesday,Workingday,Clear,11.48,13.635,48.0,15.001299999999999,10,202,212,weekdays
86,87,2011-01-04,Spring,2011,January,18,Yes,Tuesday,Workingday,Clear,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,weekdays
87,88,2011-01-04,Spring,2011,January,19,Yes,Tuesday,Workingday,Clear,9.84,12.879999999999999,48.0,7.0015,2,110,112,weekdays
88,89,2011-01-04,Spring,2011,January,20,Yes,Tuesday,Workingday,Clear,9.84,12.879999999999999,48.0,7.0015,1,53,54,weekdays
89,90,2011-01-04,Spring,2011,January,21,Yes,Tuesday,Workingday,Clear,9.02,13.635,64.0,0.0,0,48,48,weekdays
90,91,2011-01-04,Spring,2011,January,22,Yes,Tuesday,Workingday,Clear,9.02,12.879999999999999,64.0,6.0032,1,34,35,weekdays
91,92,2011-01-04,Spring,2011,January,23,Yes,Tuesday,Workingday,Clear,8.200000000000001,11.365,69.0,6.0032,2,9,11,weekdays
92,93,2011-01-05,Spring,2011,January,0,Yes,Wednesday,Workingday,Clear,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,weekdays
93,94,2011-01-05,Spring,2011,January,1,Yes,Wednesday,Workingday,Clear,6.5600000000000005,9.85,74.0,6.0032,0,6,6,weekdays
94,95,2011-01-05,Spring,2011,January,2,Yes,Wednesday,Workingday,Clear,6.5600000000000005,9.85,74.0,6.0032,0,2,2,weekdays
95,96,2011-01-05,Spring,2011,January,4,Yes,Wednesday,Workingday,Clear,9.84,11.365,48.0,15.001299999999999,0,2,2,weekdays
96,97,2011-01-05,Spring,2011,January,5,Yes,Wednesday,Workingday,Clear,9.02,11.365,47.0,11.0014,0,3,3,weekdays
97,98,2011-01-05,Spring,2011,January,6,Yes,Wednesday,Workingday,Clear,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,weekdays
98,99,2011-01-05,Spring,2011,January,7,Yes,Wednesday,Workingday,Clear,7.38,9.09,43.0,12.998000000000001,1,87,88,weekdays
99,100,2011-01-05,Spring,2011,January,8,Yes,Wednesday,Workingday,Clear,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,weekdays
100,101,2011-01-05,Spring,2011,January,9,Yes,Wednesday,Workingday,Clear,9.02,9.85,37.0,22.0028,6,109,115,weekdays
101,102,2011-01-05,Spring,2011,January,10,Yes,Wednesday,Workingday,Clear,9.02,9.85,37.0,22.0028,4,53,57,weekdays
102,103,2011-01-05,Spring,2011,January,11,Yes,Wednesday,Workingday,Clear,10.66,11.365,33.0,22.0028,12,34,46,weekdays
103,104,2011-01-05,Spring,2011,January,12,Yes,Wednesday,Workingday,Clear,10.66,11.365,33.0,22.0028,5,74,79,weekdays
104,105,2011-01-05,Spring,2011,January,13,Yes,Wednesday,Workingday,Clear,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,weekdays
105,106,2011-01-05,Spring,2011,January,14,Yes,Wednesday,Workingday,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,weekdays
106,107,2011-01-05,Spring,2011,January,15,Yes,Wednesday,Workingday,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,weekdays
107,108,2011-01-05,Spring,2011,January,16,Yes,Wednesday,Workingday,Clear,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,weekdays
108,109,2011-01-05,Spring,2011,January,17,Yes,Wednesday,Workingday,Clear,9.84,11.365,38.0,12.998000000000001,4,186,190,weekdays
109,110,2011-01-05,Spring,2011,January,18,Yes,Wednesday,Workingday,Clear,9.84,12.120000000000001,38.0,8.9981,3,166,169,weekdays
110,111,2011-01-05,Spring,2011,January,19,Yes,Wednesday,Workingday,Clear,9.84,12.879999999999999,38.0,7.0015,5,127,132,weekdays
111,112,2011-01-05,Spring,2011,January,20,Yes,Wednesday,Workingday,Clear,9.02,11.365,47.0,11.0014,7,82,89,weekdays
112,113,2011-01-05,Spring,2011,January,21,Yes,Wednesday,Workingday,Clear,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,weekdays
113,114,2011-01-05,Spring,2011,January,22,Yes,Wednesday,Workingday,Clear,7.38,9.85,55.00000000000001,8.9981,1,41,42,weekdays
114,115,2011-01-05,Spring,2011,January,23,Yes,Wednesday,Workingday,Clear,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,weekdays
115,116,2011-01-06,Spring,2011,January,0,Yes,Thursday,Workingday,Clear,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,weekdays
116,117,2011-01-06,Spring,2011,January,1,Yes,Thursday,Workingday,Clear,6.5600000000000005,11.365,64.0,0.0,0,4,4,weekdays
117,118,2011-01-06,Spring,2011,January,2,Yes,Thursday,Workingday,Clear,6.5600000000000005,11.365,64.0,0.0,0,2,2,weekdays
118,119,2011-01-06,Spring,2011,January,4,Yes,Thursday,Workingday,Misty,6.5600000000000005,9.85,64.0,6.0032,0,1,1,weekdays
119,120,2011-01-06,Spring,2011,January,5,Yes,Thursday,Workingday,Misty,5.74,9.09,69.0,6.0032,0,4,4,weekdays
120,121,2011-01-06,Spring,2011,January,6,Yes,Thursday,Workingday,Misty,5.74,8.334999999999999,63.0,7.0015,0,36,36,weekdays
121,122,2011-01-06,Spring,2011,January,7,Yes,Thursday,Workingday,Misty,6.5600000000000005,11.365,59.0,0.0,0,95,95,weekdays
122,123,2011-01-06,Spring,2011,January,8,Yes,Thursday,Workingday,Clear,6.5600000000000005,11.365,59.0,0.0,3,216,219,weekdays
123,124,2011-01-06,Spring,2011,January,9,Yes,Thursday,Workingday,Misty,7.38,12.120000000000001,51.0,0.0,6,116,122,weekdays
124,125,2011-01-06,Spring,2011,January,10,Yes,Thursday,Workingday,Clear,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,weekdays
125,126,2011-01-06,Spring,2011,January,11,Yes,Thursday,Workingday,Clear,9.02,12.879999999999999,44.0,6.0032,2,57,59,weekdays
126,127,2011-01-06,Spring,2011,January,12,Yes,Thursday,Workingday,Clear,10.66,14.395,35.0,0.0,6,78,84,weekdays
127,128,2011-01-06,Spring,2011,January,13,Yes,Thursday,Workingday,Clear,10.66,13.635,35.0,7.0015,12,55,67,weekdays
128,129,2011-01-06,Spring,2011,January,14,Yes,Thursday,Workingday,Clear,11.48,13.635,36.0,11.0014,11,59,70,weekdays
129,130,2011-01-06,Spring,2011,January,15,Yes,Thursday,Workingday,Clear,11.48,13.635,36.0,0.0,8,54,62,weekdays
130,131,2011-01-06,Spring,2011,January,16,Yes,Thursday,Workingday,Clear,10.66,12.879999999999999,38.0,11.0014,12,74,86,weekdays
131,132,2011-01-06,Spring,2011,January,17,Yes,Thursday,Workingday,Clear,9.02,11.365,51.0,11.0014,9,163,172,weekdays
132,133,2011-01-06,Spring,2011,January,18,Yes,Thursday,Workingday,Clear,9.02,11.365,51.0,8.9981,5,158,163,weekdays
133,134,2011-01-06,Spring,2011,January,19,Yes,Thursday,Workingday,Clear,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,weekdays
134,135,2011-01-06,Spring,2011,January,20,Yes,Thursday,Workingday,Clear,8.200000000000001,10.605,51.0,11.0014,3,66,69,weekdays
135,136,2011-01-06,Spring,2011,January,21,Yes,Thursday,Workingday,Misty,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,weekdays
136,137,2011-01-06,Spring,2011,January,22,Yes,Thursday,Workingday,Misty,9.02,10.605,51.0,19.0012,1,51,52,weekdays
137,138,2011-01-06,Spring,2011,January,23,Yes,Thursday,Workingday,Misty,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,weekdays
138,139,2011-01-07,Spring,2011,January,0,Yes,Friday,Workingday,Misty,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,weekdays
139,140,2011-01-07,Spring,2011,January,1,Yes,Friday,Workingday,Misty,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,weekdays
140,141,2011-01-07,Spring,2011,January,2,Yes,Friday,Workingday,Misty,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,weekdays
141,142,2011-01-07,Spring,2011,January,4,Yes,Friday,Workingday,Misty,8.200000000000001,10.605,69.0,8.9981,0,1,1,weekdays
142,143,2011-01-07,Spring,2011,January,5,Yes,Friday,Workingday,Light Snow,9.02,13.635,55.00000000000001,0.0,0,5,5,weekdays
143,144,2011-01-07,Spring,2011,January,6,Yes,Friday,Workingday,Misty,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,weekdays
144,145,2011-01-07,Spring,2011,January,7,Yes,Friday,Workingday,Clear,8.200000000000001,10.605,69.0,8.9981,8,76,84,weekdays
145,146,2011-01-07,Spring,2011,January,8,Yes,Friday,Workingday,Clear,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,weekdays
146,147,2011-01-07,Spring,2011,January,9,Yes,Friday,Workingday,Clear,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,weekdays
147,148,2011-01-07,Spring,2011,January,10,Yes,Friday,Workingday,Clear,9.02,9.85,37.0,22.0028,16,47,63,weekdays
148,149,2011-01-07,Spring,2011,January,11,Yes,Friday,Workingday,Misty,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,weekdays
149,150,2011-01-07,Spring,2011,January,12,Yes,Friday,Workingday,Misty,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,weekdays
150,151,2011-01-07,Spring,2011,January,13,Yes,Friday,Workingday,Misty,8.200000000000001,9.09,37.0,19.0012,9,64,73,weekdays
151,152,2011-01-07,Spring,2011,January,14,Yes,Friday,Workingday,Misty,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,weekdays
152,153,2011-01-07,Spring,2011,January,15,Yes,Friday,Workingday,Misty,8.200000000000001,10.605,37.0,11.0014,9,63,72,weekdays
153,154,2011-01-07,Spring,2011,January,16,Yes,Friday,Workingday,Misty,8.200000000000001,10.605,37.0,11.0014,5,82,87,weekdays
154,155,2011-01-07,Spring,2011,January,17,Yes,Friday,Workingday,Misty,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,weekdays
155,156,2011-01-07,Spring,2011,January,18,Yes,Friday,Workingday,Clear,8.200000000000001,11.365,40.0,6.0032,7,116,123,weekdays
156,157,2011-01-07,Spring,2011,January,19,Yes,Friday,Workingday,Clear,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,weekdays
157,158,2011-01-07,Spring,2011,January,20,Yes,Friday,Workingday,Clear,7.38,10.605,47.0,7.0015,1,50,51,weekdays
158,159,2011-01-07,Spring,2011,January,21,Yes,Friday,Workingday,Clear,7.38,9.85,47.0,8.9981,0,39,39,weekdays
159,160,2011-01-07,Spring,2011,January,22,Yes,Friday,Workingday,Misty,7.38,9.85,43.0,11.0014,2,34,36,weekdays
160,161,2011-01-07,Spring,2011,January,23,Yes,Friday,Workingday,Misty,7.38,9.85,51.0,11.0014,1,14,15,weekdays
161,162,2011-01-08,Spring,2011,January,0,Yes,Saturday,Weekend,Misty,7.38,9.85,51.0,11.0014,1,24,25,weekends
162,163,2011-01-08,Spring,2011,January,1,Yes,Saturday,Weekend,Misty,7.38,10.605,55.00000000000001,6.0032,1,15,16,weekends
163,164,2011-01-08,Spring,2011,January,2,Yes,Saturday,Weekend,Misty,7.38,12.120000000000001,55.00000000000001,0.0,3,13,16,weekends
164,165,2011-01-08,Spring,2011,January,3,Yes,Saturday,Weekend,Light Snow,7.38,9.85,55.00000000000001,11.0014,0,7,7,weekends
165,166,2011-01-08,Spring,2011,January,4,Yes,Saturday,Weekend,Light Snow,7.38,9.85,55.00000000000001,11.0014,0,1,1,weekends
166,167,2011-01-08,Spring,2011,January,5,Yes,Saturday,Weekend,Misty,6.5600000000000005,8.334999999999999,74.0,11.0014,0,5,5,weekends
167,168,2011-01-08,Spring,2011,January,6,Yes,Saturday,Weekend,Misty,6.5600000000000005,8.334999999999999,74.0,11.0014,0,2,2,weekends
168,169,2011-01-08,Spring,2011,January,7,Yes,Saturday,Weekend,Misty,6.5600000000000005,9.09,74.0,7.0015,1,8,9,weekends
169,170,2011-01-08,Spring,2011,January,8,Yes,Saturday,Weekend,Light Snow,6.5600000000000005,9.09,93.0,7.0015,0,15,15,weekends
170,171,2011-01-08,Spring,2011,January,9,Yes,Saturday,Weekend,Light Snow,6.5600000000000005,9.09,93.0,7.0015,0,20,20,weekends
171,172,2011-01-08,Spring,2011,January,10,Yes,Saturday,Weekend,Misty,7.38,9.85,80.0,11.0014,5,56,61,weekends
172,173,2011-01-08,Spring,2011,January,11,Yes,Saturday,Weekend,Misty,8.200000000000001,9.09,69.0,26.0027,2,60,62,weekends
173,174,2011-01-08,Spring,2011,January,12,Yes,Saturday,Weekend,Misty,8.200000000000001,9.09,59.0,23.9994,8,90,98,weekends
174,175,2011-01-08,Spring,2011,January,13,Yes,Saturday,Weekend,Clear,8.200000000000001,9.09,44.0,22.0028,7,95,102,weekends
175,176,2011-01-08,Spring,2011,January,14,Yes,Saturday,Weekend,Clear,8.200000000000001,8.334999999999999,32.0,32.9975,12,83,95,weekends
176,177,2011-01-08,Spring,2011,January,15,Yes,Saturday,Weekend,Clear,8.200000000000001,8.334999999999999,32.0,30.002599999999997,5,69,74,weekends
177,178,2011-01-08,Spring,2011,January,16,Yes,Saturday,Weekend,Clear,7.38,6.819999999999999,28.999999999999996,30.002599999999997,8,68,76,weekends
178,179,2011-01-08,Spring,2011,January,17,Yes,Saturday,Weekend,Clear,6.5600000000000005,6.0600000000000005,37.0,36.9974,5,64,69,weekends
179,180,2011-01-08,Spring,2011,January,18,Yes,Saturday,Weekend,Clear,5.74,6.0600000000000005,39.0,19.999499999999998,3,52,55,weekends
180,181,2011-01-08,Spring,2011,January,19,Yes,Saturday,Weekend,Clear,5.74,6.0600000000000005,36.0,16.997899999999998,4,26,30,weekends
181,182,2011-01-08,Spring,2011,January,20,Yes,Saturday,Weekend,Clear,4.92,6.0600000000000005,36.0,16.997899999999998,0,28,28,weekends
182,183,2011-01-08,Spring,2011,January,21,Yes,Saturday,Weekend,Clear,4.92,5.305,39.0,23.9994,2,35,37,weekends
183,184,2011-01-08,Spring,2011,January,22,Yes,Saturday,Weekend,Clear,4.92,5.305,36.0,26.0027,1,33,34,weekends
184,185,2011-01-08,Spring,2011,January,23,Yes,Saturday,Weekend,Clear,4.1000000000000005,3.0300000000000002,39.0,30.002599999999997,0,22,22,weekends
185,186,2011-01-09,Spring,2011,January,0,Yes,Sunday,Weekend,Clear,4.1000000000000005,3.7900000000000005,42.0,26.0027,1,24,25,weekends
186,187,2011-01-09,Spring,2011,January,1,Yes,Sunday,Weekend,Clear,4.1000000000000005,3.0300000000000002,42.0,31.0009,0,12,12,weekends
187,188,2011-01-09,Spring,2011,January,2,Yes,Sunday,Weekend,Clear,4.1000000000000005,3.0300000000000002,46.0,31.0009,0,11,11,weekends
188,189,2011-01-09,Spring,2011,January,3,Yes,Sunday,Weekend,Clear,4.1000000000000005,3.7900000000000005,46.0,27.999299999999998,0,4,4,weekends
189,190,2011-01-09,Spring,2011,January,4,Yes,Sunday,Weekend,Clear,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,weekends
190,191,2011-01-09,Spring,2011,January,5,Yes,Sunday,Weekend,Clear,3.2800000000000002,4.545,53.0,12.998000000000001,0,1,1,weekends
191,192,2011-01-09,Spring,2011,January,6,Yes,Sunday,Weekend,Clear,4.1000000000000005,4.545,49.0,19.0012,0,1,1,weekends
